ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number
0,pumpkin,44,4.9,candy,34,4.83,costume,23,4.57,,,,halloween,101,"[""pumpkin"", ""candy"", ""costume""]",2,3,33.66666667,"[""troll"", ""pigeon""]","[2, 3, 1]","[""troll"", ""costume"", ""pumpkin"", ""candy"", ""pigeon""]",0,[],[],"['candy', 'costume', 'halloween', 'pumpkin']","['halloween', 'pumpkin', 'candy', 'costume']",1,5
1,salt,29,4.89,snack,21,4.36,bread,10,4.92,mustard,10,4.93,pretzels,86,"[""salt"", ""snack"", ""bread""]",2,3,20,"[""witch"", ""landlord""]","[0, 4, 1]","[""salt"", ""bread"", ""landlord"", ""witch"", ""snack""]",2,"[{'alternative_cue': 'crisps', 'alternative_cue_novel_associations': ['snack', 'salt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'grain', 'alternative_cue_novel_associations': ['bread', 'salt'], 'num_alternative_cue_novel_associations': 2}]","[['snack', 'salt'], ['bread', 'salt']]","['bread', 'pretzels', 'salt', 'snack']","['pretzels', 'salt', 'snack', 'bread']",9,5
2,bike,31,5,helmet,29,4.92,biker,11,4.7,road,10,4.75,cyclist,85,"[""bike"", ""helmet"", ""biker""]",2,3,23.66666667,"[""cob"", ""explosion""]","[0, 1, 4]","[""bike"", ""helmet"", ""explosion"", ""cob"", ""biker""]",1,"[{'alternative_cue': 'motorcycle', 'alternative_cue_novel_associations': ['bike', 'helmet'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'biker', 'alternative_cue_novel_associations': ['bike', 'helmet'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cycling', 'alternative_cue_novel_associations': ['bike', 'helmet'], 'num_alternative_cue_novel_associations': 2}]","[['bike', 'helmet']]","['bike', 'biker', 'cyclist', 'helmet']","['cyclist', 'bike', 'helmet', 'biker']",4,5
3,water,48,5,submarine,48,4.8,sink,25,4.74,dive,10,4.03,submerge,121,"[""water"", ""submarine"", ""sink""]",2,3,40.33333333,"[""iris"", ""air""]","[1, 3, 4]","[""air"", ""water"", ""iris"", ""submarine"", ""sink""]",3,"[{'alternative_cue': 'drain', 'alternative_cue_novel_associations': ['sink', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pump', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'filter', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'basin', 'alternative_cue_novel_associations': ['sink', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'torpedo', 'alternative_cue_novel_associations': ['submarine', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'evaporate', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'faucet', 'alternative_cue_novel_associations': ['sink', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hovercraft', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'plumber', 'alternative_cue_novel_associations': ['sink', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hydrogen', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'immerse', 'alternative_cue_novel_associations': ['sink', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'vapor', 'alternative_cue_novel_associations': ['air', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['submarine', 'water'], ['air', 'water'], ['sink', 'water']]","['sink', 'submarine', 'submerge', 'water']","['submerge', 'water', 'submarine', 'sink']",16,5
4,green,34,4.07,bean,26,5,plant,18,4.76,vegetable,13,4.89,sprout,99,"[""green"", ""bean"", ""plant""]",2,3,26,"[""pin"", ""mom""]","[3, 0, 1]","[""bean"", ""plant"", ""pin"", ""green"", ""mom""]",3,"[{'alternative_cue': 'herb', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'moss', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stem', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'foliage', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'holly', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'clover', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'aloe', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cactus', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'watercress', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shrub', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fern', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'basil', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stalk', 'alternative_cue_novel_associations': ['bean', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'herbal', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bowling', 'alternative_cue_novel_associations': ['green', 'pin'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tree', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bush', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'photosynthesis', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ivy', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'vegetation', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'vines', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mint', 'alternative_cue_novel_associations': ['green', 'plant'], 'num_alternative_cue_novel_associations': 2}]","[['green', 'pin'], ['green', 'plant'], ['bean', 'plant']]","['bean', 'green', 'plant', 'sprout']","['sprout', 'green', 'bean', 'plant']",16,5
5,food,66,4.8,kitchen,32,4.97,cupboard,27,4.79,closet,12,4.83,pantry,125,"[""food"", ""kitchen"", ""cupboard""]",2,3,41.66666667,"[""wound"", ""tendon""]","[1, 2, 0]","[""cupboard"", ""food"", ""kitchen"", ""wound"", ""tendon""]",2,"[{'alternative_cue': 'cooking', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tongs', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cooked', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'culinary', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cabinet', 'alternative_cue_novel_associations': ['kitchen', 'cupboard'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cupboard', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'recipes', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cookbook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blender', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cuisine', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fridge', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chef', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}]","[['kitchen', 'cupboard'], ['kitchen', 'food']]","['cupboard', 'food', 'kitchen', 'pantry']","['pantry', 'food', 'kitchen', 'cupboard']",9,5
6,train,66,4.79,track,29,4.31,car,11,4.89,,,,railroad,114,"[""train"", ""track"", ""car""]",2,3,35.33333333,"[""wheelchair"", ""surgery""]","[1, 0, 2]","[""track"", ""train"", ""car"", ""surgery"", ""wheelchair""]",4,"[{'alternative_cue': 'toot', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'transportation', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'passenger', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'trolley', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'locomotive', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rail', 'alternative_cue_novel_associations': ['train', 'track'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'commute', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tram', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'go-cart', 'alternative_cue_novel_associations': ['track', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'transport', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'engine', 'alternative_cue_novel_associations': ['train', 'car'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ramp', 'alternative_cue_novel_associations': ['wheelchair', 'car'], 'num_alternative_cue_novel_associations': 2}]","[['track', 'car'], ['train', 'track'], ['wheelchair', 'car'], ['train', 'car']]","['car', 'railroad', 'track', 'train']","['railroad', 'train', 'track', 'car']",25,5
7,plane,34,4.92,bird,31,5,air,16,4.11,sky,13,4.45,flying,88,"[""plane"", ""bird"", ""air""]",2,3,27,"[""mining"", ""athlete""]","[1, 2, 4]","[""mining"", ""plane"", ""bird"", ""athlete"", ""air""]",1,"[{'alternative_cue': 'flew', 'alternative_cue_novel_associations': ['plane', 'bird'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wings', 'alternative_cue_novel_associations': ['plane', 'bird'], 'num_alternative_cue_novel_associations': 2}]","[['plane', 'bird']]","['air', 'bird', 'flying', 'plane']","['flying', 'plane', 'bird', 'air']",4,5
8,cheese,49,4.7,food,23,4.8,pie,15,4.92,,,,pizza,101,"[""cheese"", ""food"", ""pie""]",2,3,29,"[""groundhog"", ""drool""]","[4, 0, 3]","[""food"", ""groundhog"", ""drool"", ""pie"", ""cheese""]",4,"[{'alternative_cue': 'hamburgers', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'saliva', 'alternative_cue_novel_associations': ['food', 'drool'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'burger', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'enchilada', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'omelet', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sandwich', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'slice', 'alternative_cue_novel_associations': ['pie', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'burgers', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lasagna', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hamburger', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'filling', 'alternative_cue_novel_associations': ['pie', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'macaroni', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}]","[['food', 'cheese'], ['food', 'drool'], ['pie', 'cheese'], ['pie', 'food']]","['cheese', 'food', 'pie', 'pizza']","['pizza', 'cheese', 'food', 'pie']",25,5
9,fat,32,4.52,button,28,4.96,tummy,23,4.68,jelly,10,4.93,belly,118,"[""fat"", ""button"", ""tummy""]",2,3,27.66666667,"[""laboratory"", ""magician""]","[1, 2, 4]","[""magician"", ""fat"", ""button"", ""laboratory"", ""tummy""]",0,[],[],"['belly', 'button', 'fat', 'tummy']","['belly', 'fat', 'button', 'tummy']",1,5
10,beer,69,4.88,glass,30,4.82,milk,15,4.92,quart,14,4.57,pint,114,"[""beer"", ""glass"", ""milk""]",2,3,38,"[""swamp"", ""rain""]","[0, 1, 4]","[""beer"", ""glass"", ""swamp"", ""rain"", ""milk""]",5,"[{'alternative_cue': 'bottles', 'alternative_cue_novel_associations': ['glass', 'beer', 'milk'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'froth', 'alternative_cue_novel_associations': ['beer', 'milk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bottle', 'alternative_cue_novel_associations': ['glass', 'beer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'windshield', 'alternative_cue_novel_associations': ['glass', 'rain'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'condensation', 'alternative_cue_novel_associations': ['glass', 'rain'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pour', 'alternative_cue_novel_associations': ['rain', 'milk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'malt', 'alternative_cue_novel_associations': ['beer', 'milk'], 'num_alternative_cue_novel_associations': 2}]","[['rain', 'milk'], ['glass', 'beer', 'milk'], ['glass', 'rain'], ['beer', 'milk'], ['glass', 'beer']]","['beer', 'glass', 'milk', 'pint']","['pint', 'beer', 'glass', 'milk']",36,5
11,king,61,4.1,ruler,24,4.66,penguin,17,5,clothes,15,4.76,emperor,102,"[""king"", ""ruler"", ""penguin""]",2,3,34,"[""cobra"", ""notebook""]","[4, 1, 2]","[""cobra"", ""ruler"", ""penguin"", ""notebook"", ""king""]",1,"[{'alternative_cue': 'monarch', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rule', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sovereign', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tyrant', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ruling', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}]","[['king', 'ruler']]","['emperor', 'king', 'penguin', 'ruler']","['emperor', 'king', 'ruler', 'penguin']",4,5
12,cheese,31,4.7,ice,29,4.89,hot,17,4.31,chocolate,13,4.72,melted,77,"[""cheese"", ""ice"", ""hot""]",2,3,25.66666667,"[""mitt"", ""bean""]","[1, 2, 3]","[""mitt"", ""cheese"", ""ice"", ""hot"", ""bean""]",3,"[{'alternative_cue': 'melting', 'alternative_cue_novel_associations': ['ice', 'hot', 'cheese'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'cold', 'alternative_cue_novel_associations': ['ice', 'hot'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cocoa', 'alternative_cue_novel_associations': ['hot', 'bean'], 'num_alternative_cue_novel_associations': 2}]","[['ice', 'hot'], ['ice', 'hot', 'cheese'], ['hot', 'bean']]","['cheese', 'hot', 'ice', 'melted']","['melted', 'cheese', 'ice', 'hot']",16,5
13,movie,25,4.59,book,11,4.9,,,,,,,subtitle,60,"[""movie"", ""book""]",3,2,18,"[""sandwich"", ""sunset"", ""pen""]","[2, 3]","[""sunset"", ""sandwich"", ""movie"", ""book"", ""pen""]",4,"[{'alternative_cue': 'notebook', 'alternative_cue_novel_associations': ['movie', 'pen'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'write', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'writer', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'written', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hunger games', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'writing', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lord of the rings', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'genre', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'thriller', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'twilight', 'alternative_cue_novel_associations': ['sunset', 'book'], 'num_alternative_cue_novel_associations': 2}]","[['movie', 'book'], ['pen', 'book'], ['movie', 'pen'], ['sunset', 'book']]","['book', 'movie', 'subtitle']","['subtitle', 'movie', 'book']",25,5
14,college,34,4.62,high school,20,4.52,,,,,,,freshman,71,"[""college"", ""high school""]",3,2,27,"[""salsa"", ""monument"", ""gold""]","[2, 4]","[""gold"", ""salsa"", ""college"", ""monument"", ""high school""]",1,"[{'alternative_cue': 'graduate', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'graduation', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'diploma', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}]","[['college', 'high school']]","['college', 'freshman', 'high school']","['freshman', 'college', 'high school']",4,5
15,cat,78,4.86,mustache,11,4.9,,,,,,,whiskers,115,"[""cat"", ""mustache""]",3,2,44.5,"[""diary"", ""waistband"", ""nebula""]","[1, 0]","[""mustache"", ""cat"", ""diary"", ""waistband"", ""nebula""]",0,[],[],"['cat', 'mustache', 'whiskers']","['whiskers', 'cat', 'mustache']",1,5
16,snake,78,5,cat,27,4.86,,,,,,,hiss,123,"[""snake"", ""cat""]",3,2,52.5,"[""limp"", ""stewardess"", ""van""]","[2, 4]","[""stewardess"", ""van"", ""snake"", ""limp"", ""cat""]",0,[],[],"['cat', 'hiss', 'snake']","['hiss', 'snake', 'cat']",1,5
17,book,35,4.9,phone,20,4.86,,,,,,,text,86,"[""book"", ""phone""]",3,2,27.5,"[""toothbrush"", ""lobe"", ""landscape""]","[2, 4]","[""toothbrush"", ""landscape"", ""book"", ""lobe"", ""phone""]",0,[],[],"['book', 'phone', 'text']","['text', 'book', 'phone']",1,5
18,bush,27,4.9,woods,14,4.87,,,,,,,thicket,55,"[""bush"", ""woods""]",3,2,20.5,"[""crane"", ""microscope"", ""van""]","[4, 3]","[""crane"", ""microscope"", ""van"", ""woods"", ""bush""]",0,[],[],"['bush', 'thicket', 'woods']","['thicket', 'bush', 'woods']",1,5
19,snow,75,4.85,mountain,27,4.96,,,,,,,skiing,123,"[""snow"", ""mountain""]",3,2,51,"[""throw up"", ""lottery"", ""rod""]","[3, 2]","[""throw up"", ""lottery"", ""mountain"", ""snow"", ""rod""]",1,"[{'alternative_cue': 'alps', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'snowboard', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'skis', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'alpine', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}]","[['mountain', 'snow']]","['mountain', 'skiing', 'snow']","['skiing', 'snow', 'mountain']",4,5
20,food,56,4.8,freezer,22,4.87,kitchen,12,4.97,ice,10,4.89,fridge,147,"[""food"", ""freezer"", ""kitchen"", ""ice""]",2,4,25,"[""sewing"", ""pool""]","[1, 2, 4, 5]","[""pool"", ""food"", ""freezer"", ""sewing"", ""kitchen"", ""ice""]",4,"[{'alternative_cue': 'refrigerator', 'alternative_cue_novel_associations': ['freezer', 'ice', 'food'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'chef', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blender', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pantry', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'culinary', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cupboard', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'freeze', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'icebox', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cooking', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cookbook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cuisine', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tongs', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'freezer', 'alternative_cue_novel_associations': ['ice', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cooked', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'recipes', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'defrost', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}]","[['freezer', 'ice'], ['ice', 'food'], ['kitchen', 'food'], ['freezer', 'ice', 'food']]","['food', 'freezer', 'fridge', 'ice', 'kitchen']","['fridge', 'food', 'freezer', 'kitchen', 'ice']",25,6
21,knight,35,4.79,shield,18,4.66,metal,17,4.87,,,,armor,70,"[""knight"", ""shield"", ""metal""]",3,3,23.33333333,"[""paint"", ""ninja"", ""belt""]","[2, 4, 3]","[""belt"", ""ninja"", ""knight"", ""metal"", ""shield"", ""paint""]",1,"[{'alternative_cue': 'defender', 'alternative_cue_novel_associations': ['knight', 'shield'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sword', 'alternative_cue_novel_associations': ['knight', 'shield'], 'num_alternative_cue_novel_associations': 2}]","[['knight', 'shield']]","['armor', 'knight', 'metal', 'shield']","['armor', 'knight', 'shield', 'metal']",4,6
